instance_id,model,probe,probe_level,strategy,condition,metric_name,dim,rep,correct,error_type,final_answer,is_empty,evaluation_method,duration_s,output_len
v6_GLM-4-9B-0_L0_cot_abstract_r2,GLM-4-9B-0414,Anti-Commutativity,0,cot,abstract,minkowski_4,4,2,,uncertain,\omega_{1} * \omega_{2} + \omega_{2} * \omega_{1},False,uncertain,4.0,1004
v6_GLM-4-9B-0_L0_cot_standard_r0,GLM-4-9B-0414,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,\boxed{0},False,semantic_equivalent,4.0,807
v6_GLM-4-9B-0_L0_cot_standard_r1,GLM-4-9B-0414,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,e_{1} * e_{2} + e_{2} * e_{1} = 0,False,contains_gt,4.1,837
v6_GLM-4-9B-0_L0_cot_standard_r2,GLM-4-9B-0414,Anti-Commutativity,0,cot,standard,minkowski_4,4,2,True,none,\boxed{0},False,semantic_equivalent,4.3,807
v6_GLM-4-9B-0_L0_cot_abstract_r0,GLM-4-9B-0414,Anti-Commutativity,0,cot,abstract,minkowski_4,4,0,,uncertain,\omega_{1} * \omega_{2} + \omega_{2} * \omega_{1},False,uncertain,4.4,1004
v6_DeepSeek-V_L0_cot_standard_r0,DeepSeek-V4-Flash,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,** 0,False,semantic_equivalent,5.6,512
v6_DeepSeek-V_L0_cot_standard_r2,DeepSeek-V4-Flash,Anti-Commutativity,0,cot,standard,minkowski_4,4,2,True,none,** 0,False,semantic_equivalent,5.6,476
v6_DeepSeek-V_L0_cot_standard_r1,DeepSeek-V4-Flash,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,** 0,False,semantic_equivalent,6.0,481
v6_GLM-4-9B-0_L0_cot_abstract_r1,GLM-4-9B-0414,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,,uncertain,FINAL ANSWER: \omega_{1} * \omega_{2} - \omega_{2} * \omega_{1},False,uncertain,6.7,1656
v6_DeepSeek-V_L0_cot_abstract_r1,DeepSeek-V4-Flash,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,True,none,** 0,False,semantic_equivalent,7.0,472
v6_GLM-4-9B-0_L1_cot_standard_r1,GLM-4-9B-0414,Position Sensitivity,1,cot,standard,minkowski_4,4,1,True,none,- (e_1 * e_2 * e_3),False,contains_gt,5.1,1255
v6_GLM-4-9B-0_L0_cot_random_r2,GLM-4-9B-0414,Anti-Commutativity,0,cot,random,minkowski_4,4,2,True,none,0,False,semantic_equivalent,6.1,1385
v6_DeepSeek-V_L0_cot_abstract_r0,DeepSeek-V3,Anti-Commutativity,0,cot,abstract,minkowski_4,4,0,True,none,0,False,semantic_equivalent,10.3,888
v6_GLM-4-9B-0_L0_cot_random_r1,GLM-4-9B-0414,Anti-Commutativity,0,cot,random,minkowski_4,4,1,True,none,0,False,semantic_equivalent,6.2,1397
v6_DeepSeek-V_L0_cot_standard_r1,DeepSeek-V3,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,0,False,semantic_equivalent,10.3,742
v6_Qwen3-8B-L_L0_cot_standard_r1,Qwen3-8B-Local,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,**  0,False,semantic_equivalent,10.5,550
v6_GLM-4-9B-0_L0_cot_random_r0,GLM-4-9B-0414,Anti-Commutativity,0,cot,random,minkowski_4,4,0,True,none,0,False,semantic_equivalent,6.7,1242
v6_DeepSeek-V_L0_cot_standard_r0,DeepSeek-V3,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,0,False,semantic_equivalent,11.1,814
v6_DeepSeek-V_L0_cot_abstract_r2,DeepSeek-V3,Anti-Commutativity,0,cot,abstract,minkowski_4,4,2,True,none,0,False,semantic_equivalent,11.3,928
v6_DeepSeek-V_L0_cot_abstract_r1,DeepSeek-V3,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,True,none,0,False,semantic_equivalent,11.5,1030
v6_MiniMax-M2_L0_cot_standard_r2,MiniMax-M2.5,Anti-Commutativity,0,cot,standard,minkowski_4,4,2,True,none,** 0,False,semantic_equivalent,11.6,813
v6_DeepSeek-V_L0_cot_standard_r2,DeepSeek-V3,Anti-Commutativity,0,cot,standard,minkowski_4,4,2,True,none,0,False,semantic_equivalent,11.9,871
v6_GLM-4-9B-0_L1_cot_standard_r0,GLM-4-9B-0414,Position Sensitivity,1,cot,standard,minkowski_4,4,0,True,none,FINAL ANSWER:  e_1 * e_2 * e_3,False,contains_gt,7.6,1723
v6_DeepSeek-V_L0_cot_standard_r1,DeepSeek-V3.2,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,0**,False,semantic_equivalent,12.3,730
v6_DeepSeek-V_L0_cot_random_r0,DeepSeek-V4-Flash,Anti-Commutativity,0,cot,random,minkowski_4,4,0,True,none,0,False,semantic_equivalent,6.8,552
v6_GLM-Z1-9B-_L0_cot_standard_r1,GLM-Z1-9B-0414,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,"**  
FINAL ANSWER:  0",False,contains_gt,12.7,464
v6_DeepSeek-V_L0_cot_standard_r2,DeepSeek-V3.2,Anti-Commutativity,0,cot,standard,minkowski_4,4,2,True,none,"**  

\boxed{0}",False,semantic_equivalent,13.2,780
v6_DeepSeek-V_L0_cot_abstract_r2,DeepSeek-V4-Flash,Anti-Commutativity,0,cot,abstract,minkowski_4,4,2,True,none,0,False,semantic_equivalent,13.3,512
v6_GLM-Z1-9B-_L0_cot_standard_r0,GLM-Z1-9B-0414,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,"**  

\boxed{0}",False,semantic_equivalent,13.8,507
v6_GLM-Z1-9B-_L0_cot_standard_r2,GLM-Z1-9B-0414,Anti-Commutativity,0,cot,standard,minkowski_4,4,2,True,none,** 0,False,semantic_equivalent,13.8,571
v6_MiniMax-M2_L0_cot_standard_r1,MiniMax-M2.5,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,0**,False,semantic_equivalent,14.2,934
v6_Qwen3-14B_L0_cot_standard_r1,Qwen3-14B,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,\boxed{0},False,semantic_equivalent,14.4,1020
v6_Qwen3-14B_L0_cot_standard_r0,Qwen3-14B,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,\boxed{0},False,semantic_equivalent,14.4,1020
v6_Qwen3-14B_L0_cot_standard_r2,Qwen3-14B,Anti-Commutativity,0,cot,standard,minkowski_4,4,2,True,none,\boxed{0},False,semantic_equivalent,14.4,1020
v6_DeepSeek-V_L0_cot_abstract_r0,DeepSeek-V4-Flash,Anti-Commutativity,0,cot,abstract,minkowski_4,4,0,True,none,0,False,semantic_equivalent,14.5,584
v6_DeepSeek-V_L0_cot_standard_r2,DeepSeek-V4-Pro,Anti-Commutativity,0,cot,standard,minkowski_4,4,2,True,none,0,False,semantic_equivalent,15.0,587
v6_GLM-4-9B-0_L1_cot_abstract_r0,GLM-4-9B-0414,Position Sensitivity,1,cot,abstract,minkowski_4,4,0,True,none,FINAL ANSWER:  ω_{1} * ω_{2} * ω_{3},False,contains_gt,5.6,1218
v6_DeepSeek-V_L1_cot_standard_r0,DeepSeek-V4-Flash,Position Sensitivity,1,cot,standard,minkowski_4,4,0,True,none,** e₁ * e₂ * e₃,False,semantic_equivalent,8.1,525
v6_DeepSeek-V_L0_cot_abstract_r0,DeepSeek-V3.2,Anti-Commutativity,0,cot,abstract,minkowski_4,4,0,True,none,"**  

0",False,semantic_equivalent,15.2,930
v6_DeepSeek-V_L0_cot_standard_r0,DeepSeek-V3.2,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,0**,False,semantic_equivalent,15.2,858
v6_GLM-4-9B-0_L1_cot_standard_r2,GLM-4-9B-0414,Position Sensitivity,1,cot,standard,minkowski_4,4,2,True,none,"**
 e_1 * e_2 * e_3",False,semantic_equivalent,8.9,2008
v6_Qwen3-32B_L0_cot_abstract_r0,Qwen3-32B,Anti-Commutativity,0,cot,abstract,minkowski_4,4,0,True,none,\boxed{0},False,semantic_equivalent,15.7,1167
v6_Qwen3-14B_L0_cot_abstract_r2,Qwen3-14B,Anti-Commutativity,0,cot,abstract,minkowski_4,4,2,True,none,0,False,semantic_equivalent,15.8,1121
